Name,Tagline,Technologies,Topics
GNOME Foundation,A diverse and sustainable free software desktop.,c - linux - rust - gtk - Flatpak,operating systems - desktop - graphics - open source - apps
GNSS-SDR,An open source GNSS software-defined receiver,c - c++ - sdr,gnss - geolocation - navigation - software defined radio - communications
GNU Compiler Collection (GCC),GNU compilers,c/c++ - gnu make - gnu autotools,compilers - developer tools - toolchain - openmp - link time optimization
GNU Image Manipulation Program,GIMP is a cross-platform image editor,c - GEGL,graphics - design - photography - illustration
GNU Octave,Free Your Numbers,c++ - hg,mathematics - scientific computing - numerical computation - numerical methods - matlab
GNU Radio,The free & open software radio ecosystem,python - c++ - qt - simd,real-time - dsp - communications engineering - cybersecurity - Software-Defined Radio
Godot Engine,Multi-platform 2D and 3D game engine,opengl - c++ - vulkan - webassembly,graphics - cross-platform - game engine - game development - programming
GRAME,Domain specific language for audio,c - python - javascript - c++ - typescript,audio - compiler - digital signal processing - function programming language
Haiku,Operating system that targets personal computing.,c++ - posix - unix,desktop - kernel - network - media - gui
Haskell.org,Purely functional programming language,haskell - ghc,compilers - programming languages - functional programming - programming tools
Homebrew,The Missing Package Manager for macOS (or Linux),linux - ruby - macos,linux - package manager - macos
INCF,An open & FAIR neuroscience standards organization,python - javascript - java - c++ - gpu,machine learning - data visualization - neuroscience - brain modelling - neuroimage processing
Inkscape,Draw freely!,python - c++ - svg,web - graphics - design
Intel Video and Audio for Linux,We enable Linux Audio and Video for Intel,c/c++ - opengl - Codec - Media - Imaging,media - imaging - Codec
International Catrobat Association,Free visual coding apps for computational thinking,javascript - android - swift - kotlin - php,education - visual programming - mobile programming - game engines - creativity tools
Internet Health Report,Monitoring the Internet,python - javascript - apache kafka - VueJS,networking - routing - communication - internet - data analytics
IOOS,Our eyes on the ocean - coasts - and Great Lakes,python - ocean science,open data - data science
JabRef e.V.,Open Source bibliography manager,java - javafx - bibtex,science - library - literature - latex
JBoss Community,Community of projects around JBoss Middleware,java - rust - golang,iot - cloud - microservices - kubernetes
JdeRobot,Toolkit for developing Robotics applications,python - ros - gazebo - opencv - tensorflow,education - artificial intelligence - robotics - computer vision - developer tools
Jenkins,Jenkins - build great things at any scale,javascript - java - go - docker - kubernetes,developer tools - automation - continuous integration - continuous delivery - devops
Jenkins X,Accelerate Your Continuous Delivery on Kubernetes,golang - kubernetes - gitops,cloud - CI/CD
Jitsi,State-of-the-art video conferencing,javascript - java - react - webrtc - react native,video conferencing - WebRTC
Joomla!,The flexible platform empowering website creators.,mysql - javascript - html - php - css,web - programming languages - web development - web applications - cms
Joplin,The secure note taking application,javascript - react - typescript - electron - React-Native,database - search - synchronisation - note-taking - office
Kart Project,Distributed version-control for geospatial data,python - c++ - git - gis,version control - gis - data - point clouds - spatial
KDE Community,International team developing Open Source software,c++ - qt - qml - data structures,education - science - applications - desktop environment
Keptn,Event-driven orchestration of cloud-native apps,golang - kubernetes - angular - Helm,cloud - devops - sre - CloudNative - Operations
Kodi,The ultimate entertainment center,python - opengl - c++ - ffmpeg - sqlite,games - audio - video - media - tv
LEAP Encryption Access Project,Privacy should not be a priviledge,java - golang - qt5 - docker - ansible,privacy - vpn - Circumvention
Learning Equality,Equity in education to transform lives,python - javascript - django - vue.js,education - distributed databases - offline - learning
libcamera,Provide an open source camera stack for linux,c/c++ - linux kernel - qt5 - gstreamer - v4l2,camera - image prcessing
LibreCube Initiative,Open Source Space and Earth Exploration,python - mongodb - rest - micropython - zmq,space - cubesat - mission control - Communication Protocols
LibreHealth,Healthcare for Humanity,python - javascript - android - java - dart/flutter,web - deep learning - hfoss - radiology - mobile apps
LibreOffice,LibreOffice is a free and open source office suite,python - java - c++,office suite - desktop application - end user application
libssh,The SSH library,c - ssh,security - cryptography
libvirt,Virtualization abstraction library,kvm - hypervisor - qemu - lxc,virtualization - library
Liquid Galaxy project,We code immersive and interactive aps with G Earth,python - linux - android - flutter - Google Earth,visualization - networking - maps - cluster - ux
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,llvm - c++ - clang - mlir,compilers - development tools - libraries
Machine Learning for Science (ML4SCI),Machine learning applications in science,python - machine learning - c++ - data analysis - artificial intelligence,machine learning - science and medicine - algorithms - physics - astronomy
MariaDB,The fastest growing Open Source Database,python - javascript - c/c++ - perl - databases,Database Engines - SQL Features
Mathesar,Webapp providing a UX-first interface to databases,python - postgresql - javascript - django - svelte,databases - web - data - nonprofit - self-hosted
Matrix.org,Open - secure - decentralised communication,python - javascript - rust,interoperability - decentralisation - Secure Messaging
Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,python - javascript - ruby - tensorflow,web - machine learning - gis - civic tech - analytics
MBDyn,Open Source Multibody Simulation,python - c++,robotics - scientific computing - multibody dynamics - aeroelasticity - Structural engineering
MDAnalysis,Analysis of molecular simulations data with Python,python - cython - c/c++,science - computational-chemistry - high-performance-computing - molecular-simulation - soft-matter-physics
MetaBrainz Foundation Inc,Open music / book metadata - music recommendations,python - react - perl - postgres - spark,open data - music - books - Music recommendation - music social network
MetaCall,Simplifying the embedding of programming languages,python - c++ - rust - nodejs - docker,cloud - polyglot - faas - languages - ffi
Metasploit,World’s most used penetration testing framework,c - python - postgresql - ruby - assembly,security - penetration testing - offensive security - exploitation
Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,RISCV - Processor - Hardware - systemonchip - memory,iot - embedded - Processor - System on Chip - RISC-V
MIT App Inventor,Anyone can build apps with global impact.,javascript - java - gwt - swift,education - development tools - android - ios
Mixxx,DJ Mixing App With Powerful Features For All DJs,javascript - c++ - qt,music - dj - streaming
mlpack,a fast - flexible machine learning library,c++ - C++ template metaprogramming,machine learning - embedded - ai - deep learning - Neural networks
moja global,Collaboration for change,python - javascript - c++ - docker - Data-Science,climate monitoring - nature based solutions - land system modelling
Monado,Monado - the free and open source XR platform,opengl - vulkan - openxr - Graphics - XR,vr - xr - AR
MoveIt,Moving robots into the future,ros - c++,robotics - motion planning - trajectory generation - kinematics
MuseScore,The World’s Most Popular Music Notation Software,c++ - qt - qml - cmake,music - midi - musicxml - sheet music - music notation
MZmine,Open-source software for mass spectrometry,java - javafx,visualization - mass spectrometry - biochemistry - feature detection - ion mobility
National Resource for Network Biology (NRNB),Developing open source tools for network biology,python - javascript - java - xml - r,web application - data science - graphics - scientific computing - network biology
Neutralinojs,Lightweight cross-platform desktop app framework,c - javascript - node.js - c++ - typescript,desktop - framework - cross-platform - Application Development
NumFOCUS,NumFOCUS promotes open source scientific software.,python - c++ - r - julia,data science - graphics - scientific computing - numerical computation
omegaUp,Open CS Education as a catalyst for social change,python - mysql - php - typescript - vue.js,education - web - cloud - edtech - UX/UI
Open Bioinformatics Foundation (OBF),Open Source & Open Science in biological research,python - javascript - c++ - html/css - Git/GitHub,open science - genomics - bioinformatics - workflows - Open Source Bioinformatics
Open Chemistry,Advancing Open Source & Open Science for Chemistry,python - javascript - opengl - c++ - c++14,data science - graphics - scientific visualization - cheminformatics - quantum chemistry
Open Food Facts,Better food choices for your health & the planet,python - machine learning - perl - tensorflow - flutter,open data - health - environment - mobile - food
Open Genome Informatics,Open access genomics and bioinformatics projects,python - react - r-project - graph - angular,genomics - bioinformatics - cloud - biology - data discovery
Open Robotics,Development of open source robotics,ros - gazebo - ignition - Open-RMF,robotics - simulation
Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,javascript - c/c++ - nodejs - python 3 - Machine Learning (ML),web - robotics - open hardware - c++ - nodered
Open3D team,A Modern Library for 3D Data Processing,python - c++ - cuda - tensorflow - pytorch,3D machine learning - 3D data processing - 3D visualization - physically based rendering
OpenAFS,An opensource distributed filesystem product.,c - python - git - ansible - filesystems,testing - network - storage - filesystems
OpenAstronomy,Look at the Universe with the power of open source,python - javascript - julia - css,astronomy - solar physics - high energy astrophysics
OpenCV,++ beneficial uses of computer vision in society,python - c++ - deep learning - ai,robotics - computer vision - ai - deep learning
OpenMRS,Write Code - Save Lives.,mysql - javascript - java - fhir - Cypress,platform - Electronic Medical Record System
OpenStreetMap,Create and distribute free geodata for the world,python - javascript - java - c++ - sql,databases - routing - gis - ui - geocoding
openSUSE Project,Makers' choice for sysadmins - developers & users,python - javascript - ruby - perl - reactjs,operating systems - software quality - developer tools - containers - edge
